Register, 1st Pronouns, 2nd Pronouns, 3rd Pronouns,,Average,1st,2nd,3rd
IN,1430.286242,1420.393088,750.4287033,,,,,
IN,4619.250426,4586.456559,2432.708688,,,,,
IN,47156.52174,46821.73913,24873.91304,,,,,
IN,57391.53439,56984.12698,30269.84127,,,,,
IN,57391.53439,56984.12698,30301.5873,,,,,
IN,48208.88889,47866.66667,25480,,,,,
IN,20427.49529,20282.48588,10826.742,,,,,
IN,21448.6166,21292.49012,11363.63636,,,,,
IN,36789.83051,36522.0339,19545.76271,,,,,
IN,47186.95652,46843.47826,25086.95652,,,,,
IN,12378.13212,12274.48747,6580.865604,,,,,
IN,2768.721345,2745.287825,1481.406011,,,,,
IN,2944.248985,2916.91475,1585.656292,,,,,
IN,7150.459921,7083.442838,3902.759527,,,,,
IN,27765.30612,27505.10204,15163.26531,,,,,
IN,70225.80645,69567.74194,38380.64516,,,,,
IN,23986.78414,23753.30396,13123.34802,,,,,
IN,13188.86199,13055.69007,7225.181598,,,,,
IN,5951.445717,5886.524823,3283.687943,,,,,
IN,10277.77778,10160.07533,5692.090395,,,,,
IN,7088.311688,7012.987013,3935.714286,,,,,
IN,2166.203887,2142.00714,1209.639032,,,,,
IN,719.1453103,707.8717966,408.4027004,,,,,
IN,621.0609392,608.8280061,362.7600203,,,,,
IN,8780.079681,8605.577689,5160.159363,,,,,
IN,2685.811633,2629.836943,1614.991482,,,,,
IN,4198.934956,4111.829593,2531.380753,,,,,
IN,1182.235508,1154.051457,713.5689121,,,,,
IN,1845.743795,1800.932867,1119.773447,,,,,
IN,1838.208561,1787.638407,1131.21798,,,,,
IN,4023.448773,3904.401154,2494.588745,,,,,
IN,2370.433305,2298.853016,1494.265081,,,,,
IN,1761.356467,1707.097792,1112.302839,,,,,
IN,71127.38854,68936.30573,44929.93631,,,,,
IN,12984.88372,12584.88372,8246.511628,,,,,
IN,1561.418202,1510.887772,1016.471245,,,,,
IN,1197.538791,1158.373462,800.4280364,,,,,
IN,25261.85102,24437.92325,16909.70655,,,,,
IN,35302.83912,34151.41956,23640.37855,,,,,
IN,6004.828326,5807.939914,4021.459227,,,,,
IN,1812.884429,1752.347038,1216.251214,,,,,
IN,45901.63934,44377.04918,30819.67213,,,,,
IN,1240.349519,1197.876341,833.5361133,,,,,
IN,1811.793215,1749.596123,1220.678514,,,,,
IN,1496.610395,1440.2499,1022.730294,,,,,
IN,75060,72233.33333,51320,,,,,
IN,2131.101022,2050.321604,1465.001892,,,,,
IN,30694.82289,29531.33515,21111.71662,,,,,
IN,6152.292576,5915.938865,4251.091703,,,,,
IN,1790.092093,1721.022547,1274.055256,,,,,
IN,6028.877005,5796.256684,4292.513369,,,,,
IN,25917.24138,24926.43678,18457.47126,,,,,
IN,3186.98958,3056.322163,2276.82343,,,,,
IN,3591.558235,3444.303396,2567.756268,,,,,
IN,4070.812365,3902.588066,2965.132998,,,,,
IN,47191.66667,45237.5,34370.83333,,,,,
IN,1183.896104,1128.311688,861.5064935,,,,,
IN,25492.17002,24295.30201,18568.23266,,,,,
IN,1533.082808,1458.327741,1153.268018,,,,,
IN,694.4259113,659.4286407,524.5951356,,,,,
IN,1763.230769,1672.615385,1332.769231,,,,,
IN,2581.306306,2448.648649,1954.72973,,,,,
IN,46028.11245,43662.6506,34855.42169,,,,,
IN,3394.557823,3216.208222,2606.625259,,,,,
IN,2459.957173,2329.122056,1895.074946,,,,,
IN,70913.58025,67141.97531,54629.62963,,,,,
IN,51057.77778,48342.22222,39337.77778,,,,,
IN,5485.441527,5191.885442,4227.207637,,,,,
IN,1620.495495,1531.109234,1249.718468,,,,,
IN,6297.592998,5950.765864,4857.768053,,,,,
IN,1589.233954,1501.449275,1228.709455,,,,,
IN,25307.69231,23907.69231,19567.03297,,,,,
IN,6052.548607,5716.23752,4692.06516,,,,,
IN,1794.209215,1693.337484,1397.104608,,,,,
IN,4713.235294,4445.261438,3677.287582,,,,,
IN,4110.676157,3872.597865,3212.811388,,,,,
IN,2818.980239,2655.281776,2209.075384,,,,,
IN,18758.11688,17668.83117,14702.92208,,,,,
IN,26934.73193,25370.62937,21130.53613,,,,,
IN,9418.09291,8870.415648,7397.718011,,,,,
IN,53500,50388.88889,42037.03704,,,,,
IN,3236.643357,3044.475524,2540.979021,,,,,
IN,1091.011553,1024.138255,858.739551,,,,,
IN,5331.344654,5004.589261,4212.023864,,,,,
IN,2170.858953,2032.60667,1733.184274,,,,,
IN,6187.466808,5793.945831,4941.051514,,,,,
IN,54957.54717,51462.26415,43900.9434,,,,,
IN,5303.140646,4966.317706,4242.60355,,,,,
IN,7294.117647,6827.909887,5853.566959,,,,,
IN,847.1314712,784.806491,688.8059166,,,,,
IN,1142.484039,1057.361192,932.2886438,,,,,
IN,4836.609337,4476.658477,3965.192465,,,,,
IN,21319.49458,19732.85199,17489.16968,,,,,
IN,9909.395973,9171.14094,8128.355705,,,,,
IN,2054.432348,1891.308104,1693.79644,,,,,
IN,1622.986623,1493.993994,1340.840841,,,,,
IN,7401.991288,6813.939017,6123.210952,,,,,
IN,15489.58333,14263.02083,12813.80208,,,,,
IN,71245.50898,65592.81437,58976.0479,,,,,
IN,4522.234892,4163.435956,3747.624477,,,,,
IN,53354.26009,49121.07623,44255.60538,,,,,
IN,3306.944444,3042.777778,2752.777778,,,,,
IN,1399.788658,1287.072913,1168.721381,,,,,
IN,7464.665416,6856.785491,6263.289556,,,,,
IN,10281.65375,9443.583118,8636.520241,,,,,
IN,5379.72973,4938.738739,4521.621622,,,,,
IN,1146.504096,1044.770432,1005.143837,,,,,
IN,2246.1768,2047.370384,1980.417755,,,,,
IN,17816.56805,16239.64497,15713.01775,,,,,
IN,4654.054054,4238.610039,4108.494208,,,,,
IN,1500.87108,1366.102539,1326.903932,,,,,
IN,1559.881397,1417.68725,1417.300503,,,,,
IN,8132.392473,7391.129032,7394.489247,,,,,
IN,1466.795694,1330.954397,1353.211564,,,,,
IN,11290.50279,10244.87896,10416.20112,,,,,
IN,23424.71042,21241.31274,21602.3166,,,,,
IN,7636.87854,6924.480806,7064.820642,,,,,
IN,5741.493384,5199.905482,5316.635161,,,,,
